cell_index,x,y,dist_along_px,dist_along_um,Ki67,HER2,EGFR,CD44
488987,26619.968,7363.8,403.14282239406003,262.04283455613904,9617.56,15663.712,13775.192,2608.288
488998,26609.654545454545,7367.193939393939,392.556907945712,255.16199016471282,7165.212121212121,17714.345454545455,9259.115151515152,3962.139393939394
489030,26598.59060402685,7368.765100671141,382.2684832242177,248.47451409574148,27886.79865771812,17150.208053691276,8640.140939597315,3810.8523489932886
489108,26626.16176470588,7371.919117647059,404.25993517941305,262.7689578666185,6093.47794117647,23393.66911764706,18533.558823529413,5729.845588235294
489261,26588.305084745763,7384.889830508475,365.13856032402634,237.34006421061713,6659.372881355932,19606.16101694915,14535.296610169493,3327.898305084746
489283,26600.142045454544,7384.375,375.5442152037585,244.10373988244302,8679.772727272728,20568.977272727272,13203.244318181818,3378.9545454545455
489302,26577.715596330276,7388.724770642202,354.0886668259753,230.15763343688394,16907.091743119265,16877.935779816515,13045.330275229358,2457.467889908257
489362,26603.631067961163,7393.145631067961,374.00820755487405,243.10533491066815,6320.42718446602,21486.990291262136,9128.563106796117,4382.543689320389
489371,26570.616883116883,7396.084415584415,344.2106916528299,223.73694957433943,36827.7987012987,13498.642857142857,6254.272727272727,2657.220779220779
489414,26593.909090909092,7400.1322314049585,362.07548929153785,235.3490680394996,28202.479338842975,17964.785123966944,7033.115702479339,4285.033057851239
489438,26581.559523809523,7399.0,352.080449078052,228.85229190073383,11987.440476190475,17018.964285714286,7488.952380952381,3161.285714285714
489439,26587.941176470587,7396.588235294118,358.79149970465977,233.21447480802885,20927.397058823528,14363.970588235294,7047.279411764706,2457.3529411764707
489455,26622.860215053763,7399.741935483871,387.07762280809226,251.60045482526,20603.548387096773,15981.440860215054,6870.247311827957,3481.8440860215055
489495,26561.369565217392,7402.688405797101,332.88197909656304,216.373286412766,6446.007246376812,16439.768115942028,6180.891304347826,5543.195652173913
489518,26602.08870967742,7405.290322580645,366.4213923812816,238.17390504783305,43834.31451612903,15315.84677419355,4881.75,4403.564516129032
489544,26572.56140350877,7406.0,340.7609045719096,221.49458797174123,4963.526315789473,17053.0,4925.035087719299,5419.649122807017
489559,26583.308724832215,7409.087248322147,348.37477995462575,226.44360697050675,8240.926174496644,16405.644295302012,4333.771812080537,6485.926174496644
489583,26547.08426966292,7409.252808988764,317.25794189121865,206.21766222929213,5787.314606741573,17734.376404494382,5099.106741573034,9203.70786516854
489584,26611.88387096774,7409.98064516129,372.39256494537807,242.05516721449575,15686.574193548387,18144.187096774192,8770.167741935484,4903.064516129032
489609,26529.16091954023,7411.19540229885,300.9018277432894,195.58618803313811,19768.827586206895,16848.48275862069,5813.747126436781,4103.252873563219
489629,26522.376470588235,7414.376470588235,293.4488332941368,190.74174164118895,27589.58823529412,16086.117647058823,4385.317647058823,3354.858823529412
489630,26555.566433566433,7416.4125874125875,320.83032815347104,208.5397132997562,4669.699300699301,15655.055944055945,4353.993006993007,8261.601398601399
489645,26590.85087719298,7415.228070175439,351.667601603508,228.5839410422802,15080.38596491228,15869.570175438595,4975.2192982456145,3210.2631578947367
489660,26566.89032258065,7416.612903225807,330.4275128246687,214.77788333603468,18604.43870967742,19746.729032258063,5912.98064516129,10032.625806451611
489661,26577.514705882353,7415.89705882353,339.898126860988,220.9337824596422,5715.205882352941,19625.441176470587,5294.14705882353,6063.264705882353
489728,26539.272222222226,7420.638888888889,304.69161691084975,198.04955099205233,4533.616666666667,16393.605555555554,3898.655555555555,5788.488888888889
489729,26600.78145695364,7420.0066225165565,357.70926084963247,232.5110195522611,5749.337748344371,16257.529801324505,8427.470198675497,3189.298013245033
489745,26528.92700729927,7425.518248175183,293.3121525443198,190.65289915380788,10589.306569343064,17457.729927007298,5327.021897810219,6521.78102189781
489746,26616.00884955752,7420.33628318584,370.58362403078974,240.87935562001334,6917.070796460177,18189.1592920354,12707.902654867255,2845.4424778761063
489771,26514.081761006288,7424.74213836478,280.99547976936157,182.64706185008504,13374.40251572327,16830.100628930817,3671.9559748427673,8059.182389937107
489783,26583.032258064515,7424.986175115208,339.93553519874183,220.9580978791822,6230.354838709677,19118.617511520737,9877.442396313363,5133.880184331797
489794,26606.116071428572,7426.964285714285,358.6895943392846,233.148236320535,4392.205357142857,14311.732142857143,8287.32142857143,2821.464285714286
489843,26548.964285714286,7429.660714285715,308.33980691061186,200.4208744918977,15051.952380952382,18392.714285714286,6179.696428571428,6562.261904761905
489844,26615.20491803279,7431.377049180328,364.1989028708453,236.72928686604945,5594.122950819672,14480.131147540984,6466.172131147541,2076.8934426229507
489880,26577.058333333334,7433.55,330.3998539544583,214.7599050703979,4308.366666666667,20356.6,7920.925,5125.191666666667
489881,26595.511904761905,7431.940476190476,347.0383446346366,225.57492401251378,5572.666666666667,17586.14285714286,8525.02380952381,2764.535714285714
489882,26626.46987951807,7432.012048192771,373.52135038702994,242.78887775156946,8286.638554216868,15353.44578313253,5536.722891566265,3051.132530120482
489900,26504.192771084337,7433.951807228916,267.772788367797,174.05231243906803,42418.30120481928,10870.192771084336,3107.0843373493976,3369.9518072289156
489901,26511.736,7436.8,272.7652317081553,177.29740061030094,28403.968,12705.68,4626.504,3471.392
489902,26521.776223776225,7434.944055944056,282.3236181471696,183.51035179566026,5590.146853146854,11603.804195804196,5443.160839160839,2419.6783216783215
489924,26497.24,7436.37,260.56917687563316,169.36996496916157,23631.61,14456.15,3253.64,4789.83
489925,26563.766081871345,7435.526315789473,317.99354001282086,206.69580100833358,16502.795321637426,17271.087719298244,7916.233918128655,4925.315789473684
489934,26536.620689655178,7435.525862068966,294.73986555304737,191.5809126094808,7136.413793103448,16074.46551724138,6448.232758620689,5046.163793103448
489946,26479.08510638298,7440.624113475177,242.82217682275225,157.83441493478898,5753.787234042553,16403.41134751773,3439.936170212766,3377.248226950355
489947,26602.89285714286,7438.226190476191,350.1183240396807,227.57691062579246,5753.666666666667,16543.178571428572,5360.214285714285,6158.773809523809
489948,26615.533333333333,7440.236363636363,359.9096307542343,233.9412599902523,5556.175757575757,15782.515151515152,5263.581818181819,5519.048484848485
489970,26588.527777777777,7437.736111111111,338.0654169751007,219.74252103381545,5350.222222222223,15143.166666666666,5166.027777777777,4791.541666666667
