cell_index,x,y,dist_along_px,dist_along_um,Ki67,HER2,EGFR,CD44
LSP33564--unmicst_cellRing_478750,25879.58125,6498.38125,0.0,0.0,1391.98125,6615.80625,3302.25625,1134.54375
LSP33564--unmicst_cellRing_478807,25918.438848920865,6504.143884892086,0.0,0.0,1273.151079136691,7628.553956834532,2690.122302158273,1929.2877697841727
LSP33564--unmicst_cellRing_478825,25868.530612244896,6506.1292517006805,0.0,0.0,1147.7755102040817,6255.891156462585,2868.904761904762,981.1428571428572
LSP33564--unmicst_cellRing_478886,25888.30769230769,6512.08547008547,0.0,0.0,1545.5042735042734,9616.74358974359,2843.5811965811968,4730.837606837607
LSP33564--unmicst_cellRing_478923,25862.29341317365,6517.748502994012,0.0,0.0,1489.7724550898204,6541.047904191617,2488.2095808383237,1351.4011976047905
LSP33564--unmicst_cellRing_478930,25934.70860927152,6516.827814569537,0.0,0.0,3067.71523178808,25306.48344370861,3787.993377483444,8501.092715231787
LSP33564--unmicst_cellRing_478994,25843.26923076923,6525.5989010989015,0.0,0.0,1731.2747252747254,7625.357142857143,2640.895604395605,1333.456043956044
LSP33564--unmicst_cellRing_479003,25947.15740740741,6524.851851851852,0.0,0.0,2990.925925925926,17697.537037037036,3864.0833333333335,7879.009259259259
LSP33564--unmicst_cellRing_479016,25939.14457831325,6527.168674698795,0.0,0.0,3062.939759036145,19732.86746987952,3955.2289156626503,7149.698795180723
LSP33564--unmicst_cellRing_479033,25867.47643979057,6529.717277486911,0.0,0.0,1511.9214659685863,8819.240837696336,2852.7329842931936,2964.989528795812
LSP33564--unmicst_cellRing_479034,25887.817204301075,6529.758064516129,0.0,0.0,2594.505376344086,21079.94086021505,4204.60752688172,13450.268817204302
LSP33564--unmicst_cellRing_479035,25958.10429447853,6529.687116564417,0.0,0.0,2824.9509202453987,19664.77300613497,3192.871165644172,9856.34355828221
