cell_index,x,y,dist_along_px,dist_along_um,Ki67,HER2,EGFR,CD44
LSP33564--unmicst_cellRing_491094,26223.900584795323,7533.760233918128,1091.1663593847625,709.2581336000957,2125.058479532164,10884.140350877193,2369.748538011696,16208.456140350878
LSP33564--unmicst_cellRing_491129,26200.229357798165,7536.40366972477,1091.1663593847625,709.2581336000957,2577.211009174312,12715.385321100915,2750.651376146789,13329.339449541283
LSP33564--unmicst_cellRing_491160,26208.32098765432,7538.493827160494,1091.1663593847625,709.2581336000957,5418.469135802469,12234.703703703704,3796.074074074074,10398.83950617284
LSP33564--unmicst_cellRing_491188,26230.208633093524,7543.201438848921,1091.1663593847625,709.2581336000957,2152.1870503597124,9432.007194244605,2490.043165467626,18217.40287769784
LSP33564--unmicst_cellRing_491189,26245.674242424244,7543.674242424242,1091.1663593847625,709.2581336000957,2395.128787878788,12931.674242424242,2540.189393939394,22039.93181818182
LSP33564--unmicst_cellRing_491275,26212.611940298502,7551.243781094528,1091.1663593847625,709.2581336000957,2115.4626865671644,12254.49751243781,2427.2139303482586,21210.885572139305
LSP33564--unmicst_cellRing_491276,26257.74042553192,7553.83829787234,1091.1663593847625,709.2581336000957,2216.272340425532,11414.846808510638,2333.0510638297874,20434.140425531918
LSP33564--unmicst_cellRing_491309,26145.84474885845,7554.844748858448,1043.3773376997417,678.1952695048321,2716.3698630136987,16794.753424657534,3075.4748858447488,9681.7899543379
LSP33564--unmicst_cellRing_491322,26240.372727272726,7553.236363636363,1091.1663593847625,709.2581336000957,3382.081818181818,15000.518181818185,2621.3636363636365,23027.881818181817
LSP33564--unmicst_cellRing_491336,26162.035211267605,7554.647887323944,1058.643191836154,688.1180746935001,2678.4154929577467,18382.190140845072,2684.4084507042253,11832.514084507042
LSP33564--unmicst_cellRing_491356,26177.025,7557.0,1071.903253364111,696.7371146866722,2670.7916666666665,17075.683333333334,3645.283333333333,11965.758333333331
LSP33564--unmicst_cellRing_491365,26186.364864864863,7556.689189189189,1080.7777329957391,702.5055264472305,2656.0810810810813,17115.837837837837,3524.662162162162,11659.162162162162
LSP33564--unmicst_cellRing_491390,26238.052631578947,7561.345864661655,1091.1663593847625,709.2581336000957,2724.3383458646617,13563.345864661656,2643.842105263158,28484.22556390977
LSP33564--unmicst_cellRing_491406,26202.18888888889,7561.333333333333,1091.1663593847625,709.2581336000957,2429.088888888889,15592.738888888887,3126.05,16405.044444444444
LSP33564--unmicst_cellRing_491421,26161.71052631579,7564.0,1055.1144114806004,685.8243674623903,2995.0394736842104,14624.368421052632,2858.315789473684,10264.157894736842
LSP33564--unmicst_cellRing_491422,26187.45930232558,7565.726744186047,1078.6895220027066,701.1481893017593,2668.6686046511627,15492.755813953489,3217.0813953488373,8446.401162790698
LSP33564--unmicst_cellRing_491431,26170.532786885247,7565.836065573771,1062.762912926193,690.7958934020254,3050.88524590164,14261.532786885246,2991.3278688524592,4781.327868852459
LSP33564--unmicst_cellRing_491457,26272.5291005291,7567.4338624338625,1091.1663593847625,709.2581336000957,2313.899470899471,13162.089947089948,2481.6031746031745,30411.51851851852
LSP33564--unmicst_cellRing_491464,26221.18181818182,7566.646464646465,1091.1663593847625,709.2581336000957,2491.656565656566,13609.676767676769,2791.656565656566,10842.040404040405
LSP33564--unmicst_cellRing_491473,26213.46103896104,7572.564935064935,1091.1663593847625,709.2581336000957,2599.1233766233768,13378.214285714286,3094.4025974025976,12422.24025974026
LSP33564--unmicst_cellRing_491484,26098.606194690263,7570.159292035398,993.755045163265,645.9407793561222,2217.4646017699115,18795.433628318584,2690.119469026549,27982.561946902653
LSP33564--unmicst_cellRing_491518,26201.14857142857,7574.4,1088.5496676706819,707.5572839859433,2401.2514285714287,14247.897142857142,2996.617142857143,9288.028571428573
LSP33564--unmicst_cellRing_491561,26225.394736842107,7575.355263157895,1091.1663593847625,709.2581336000957,3464.0263157894738,13758.552631578948,3024.144736842105,8399.46052631579
LSP33564--unmicst_cellRing_491582,26237.0,7579.352422907489,1091.1663593847625,709.2581336000957,2508.748898678414,15372.453744493392,2495.092511013216,20953.497797356828
LSP33564--unmicst_cellRing_491583,26255.47120418848,7579.335078534032,1091.1663593847625,709.2581336000957,2370.303664921466,15937.104712041884,2464.774869109948,19984.03664921466
LSP33564--unmicst_cellRing_491595,26059.04273504273,7583.51282051282,952.0133948074123,618.808706624818,2359.128205128205,13558.589743589744,2811.2051282051284,12998.333333333334
LSP33564--unmicst_cellRing_491607,26170.070588235296,7582.188235294117,1056.6918852865354,686.849725436248,2211.1823529411763,18147.511764705883,2450.9,19761.482352941177
